,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1112,50853,M,SUNDAY,M12,NB,2220,2239,3.5610000000000004,8 Av / W 12 ST,W 58 ST / BROADWAY,Local,40.737904,-74.00435,40.767154999999995,-73.98199,2100.0,2124.0,SB,40.76709,-74.00451,,,,0.0,0
1113,50854,Q,SUNDAY,Q2,WB,2315,2336,4.155,HEMPSTEAD AV / 225 ST,165 ST / 165 ST TERM,Local,40.711704,-73.72904,40.707657,-73.79524,2220.0,2248.0,EB,40.7078,-73.72916,,,,0.0,0
1114,50855,BX,SUNDAY,BX13,WB,2237,2303,2.995,RIVER AV / E 150 ST,W 179 ST / BROADWAY,Local,40.820633,-73.9295,40.849113,-73.93775,2140.0,2206.0,EB,40.848490000000005,-73.93004599999999,,,,0.0,0
1115,50856,Q,SUNDAY,Q6,NB,2325,2356,5.474,EASTERN RD / BLDG 77 HALMAR,165 ST TERM / MTA BUS STAND,Local,40.652640000000005,-73.765366,40.707226,-73.79544,2210.0,2246.0,SB,40.707091999999996,-73.7655,,,,0.0,0
1116,50857,Q,SUNDAY,Q22,WB,1815,1846,5.74,BEACH 21 ST TERMINAL / BEACH 21 ST,B 116 ST / NEWPORT AV,Local,40.603905,-73.75399999999999,40.581272,-73.83824,1720.0,1750.0,EB,40.5812,-73.75401,,,,0.0,0
1117,50858,Q,SUNDAY,Q58,WB,1754,1852,8.267999999999999,41 RD / MAIN ST,PALMETTO ST / WYCKOFF AV,Limited,40.757393,-73.829285,40.699696,-73.91077,1633.0,1734.0,EB,40.700176,-73.82937,,,,0.0,0
1118,50859,Q,SUNDAY,Q4,WB,2331,2352,4.958,235 ST / LINDEN BL,TEARDROP / LAYOVER,Local,40.69037,-73.72748,40.701298,-73.80299000000001,2236.0,2306.0,EB,40.701316999999996,-73.72738000000001,,,,0.0,0
1119,50860,B,SUNDAY,B6,EB,1918,2022,7.917000000000001,CROPSEY AV AV / BAY 37 ST,ROCKAWAY PKWY / SUBWAY STATION,Local,40.59347,-73.99398000000001,40.645924,-73.90205999999999,1729.0,1854.0,WB,40.666385999999996,-73.993385,,,,0.0,0
1120,50861,BX,SUNDAY,BX28,WB,2300,2343,6.627999999999999,EARHART LA / ERSKINE PL,BAINBRIDGE AV / E 206 ST,Local,40.861336,-73.822716,40.87444,-73.87939,2111.0,2202.0,EB,40.863914,-73.82267,,,,0.0,0
1121,50862,B,SUNDAY,B41,SB,1910,2005,7.627000000000001,CADMAN PLAZA WEST / JOHNSON ST,Flatbush Av / Av U,Limited,40.695538,-73.99083,40.60921,-73.92151,1753.0,1848.0,NB,40.609253,-73.99078,,,,0.0,0
1122,50863,B,SUNDAY,B45,WB,2335,2,4.448,ST JOHNS PL / RALPH AV,LIVINGSTON ST / COURT ST,Local,40.670227000000004,-73.92323,40.69144,-73.991196,2214.0,2249.0,EB,40.691340000000004,-73.92254,,,,0.0,0
1123,50864,B,SUNDAY,B41,SB,1945,2039,7.627000000000001,CADMAN PLAZA WEST / JOHNSON ST,Flatbush Av / Av U,Limited,40.695538,-73.99083,40.60921,-73.92151,1829.0,1921.0,NB,40.609253,-73.99078,,,,0.0,0
1124,51186,B,WKD,B25,WB,1822,1918,5.767,ALABAMA AV / FULTON ST,FRONT ST / YORK ST,Local,40.676743,-73.89994,40.70255,-73.99202,1635.0,1759.0,EB,40.70251,-73.90012,1944.0,2048.0,EB,64.0,0
1125,49373,Q,WKD,Q48,EB,833,859,3.548,DITMARS BL / 102 ST,ROOSEVELT AV / MAIN ST,Local,40.76872,-73.86848,40.759586,-73.83028,734.0,815.0,WB,40.759434000000006,-73.86827,947.0,1027.0,WB,40.0,0
1126,51187,B,WKD,B52,WB,1315,1411,5.041,PALMETTO ST / ST NICHOLAS AV,CADMAN PZ W / TILLARY ST,Local,40.70042,-73.90999000000001,40.693867,-73.99041,1203.0,1251.0,EB,40.695988,-73.911224,1434.0,1529.0,EB,55.0,0
1127,51188,M,WKD,M2,SB,830,959,9.417,168 ST / AUDUBON AV,4 AV / E 9 ST,Limited,40.840645,-73.93854499999999,40.73028,-73.990524,644.0,759.0,NB,40.731342,-73.93843000000001,1014.0,1144.0,NB,90.0,0
